country_or_region,year,material_type,management_type,quantity
Afghanistan,None,food_organic_waste,,1.0455
Afghanistan,None,food_organic_waste,,11.6
Afghanistan,None,food_organic_waste,,50.5
Afghanistan,None,food_organic_waste,,13.5
Afghanistan,None,food_organic_waste,,52.94
Angola,None,food_organic_waste,,21.0
Albania,None,food_organic_waste,,37.0
Albania,None,food_organic_waste,,40.42
United Arab Emirates,None,food_organic_waste,,39.0
United Arab Emirates,None,food_organic_waste,,35.42
Argentina,None,food_organic_waste,,35.0
Argentina,None,food_organic_waste,,58.38
Argentina,None,food_organic_waste,,38.0
Armenia,None,food_organic_waste,,28.0
Armenia,None,food_organic_waste,,29.5
American Samoa,None,food_organic_waste,,19.7
Australia,None,food_organic_waste,,40.1
Australia,None,food_organic_waste,,68.21
Australia,None,food_organic_waste,,47.0
Austria,None,food_organic_waste,,31.4
Azerbaijan,None,food_organic_waste,,41.7
Burundi,None,food_organic_waste,,
Burundi,None,food_organic_waste,,
Burundi,None,food_organic_waste,,
Burundi,None,food_organic_waste,,
Belgium,None,food_organic_waste,,
Belgium,None,food_organic_waste,,
Benin,None,food_organic_waste,,
Benin,None,food_organic_waste,,58.24
Burkina Faso,None,food_organic_waste,,
Burkina Faso,None,food_organic_waste,,39.0
Bangladesh,None,food_organic_waste,,84.37
Bangladesh,None,food_organic_waste,,79.03
Bangladesh,None,food_organic_waste,,76.68
Bangladesh,None,food_organic_waste,,78.87
Bangladesh,None,food_organic_waste,,81.96
Bulgaria,None,food_organic_waste,,
Bulgaria,None,food_organic_waste,,
Bahrain,None,food_organic_waste,,
Bosnia and Herzegovina,None,food_organic_waste,,34.2
Bosnia and Herzegovina,None,food_organic_waste,,15.0
Belarus,None,food_organic_waste,,32.13
Belarus,None,food_organic_waste,,23.8
Belize,None,food_organic_waste,,52.0
Belize,None,food_organic_waste,,37.0
Bolivia,None,food_organic_waste,,47.3
Brazil,None,food_organic_waste,,46.1
Brazil,None,food_organic_waste,,52.0
Brazil,None,food_organic_waste,,47.0
Bhutan,None,food_organic_waste,,65.4
Bhutan,None,food_organic_waste,,50.5
Botswana,None,food_organic_waste,,67.9
Canada,None,food_organic_waste,,46.5
Canada,None,food_organic_waste,,50.1
Canada,None,food_organic_waste,,43.0
Switzerland,None,food_organic_waste,,
Switzerland,None,food_organic_waste,,
Chile,None,food_organic_waste,,49.0
China,None,food_organic_waste,,63.4
Côte d’Ivoire,None,food_organic_waste,,40.0
Cameroon,None,food_organic_waste,,54.8
Cameroon,None,food_organic_waste,,
Cameroon,None,food_organic_waste,,
Cameroon,None,food_organic_waste,,
"Congo, Dem. Rep.",None,food_organic_waste,,
"Congo, Rep.",None,food_organic_waste,,73.9
Colombia,None,food_organic_waste,,61.45
Colombia,None,food_organic_waste,,59.24
Colombia,None,food_organic_waste,,59.0
Comoros,None,food_organic_waste,,
Costa Rica,None,food_organic_waste,,55.0
Costa Rica,None,food_organic_waste,,51.1
Cuba,None,food_organic_waste,,60.0
Cyprus,None,food_organic_waste,,20.0
Cyprus,None,food_organic_waste,,
Czech Republic,None,food_organic_waste,,
Czech Republic,None,food_organic_waste,,
Germany,None,food_organic_waste,,21.49
Germany,None,food_organic_waste,,44.0
Djibouti,None,food_organic_waste,,
Denmark,None,food_organic_waste,,
Dominican Republic,None,food_organic_waste,,58.0
